City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Dikson,RU,2022-05-08 17:57:04,73.5069,80.5464,21.61,94,99,28.59
96,Solnechnyy,RU,2022-05-08 17:57:05,50.7214,136.6319,38.41,73,73,10.45
97,Kailua,US,2022-05-08 17:57:06,21.4022,-157.7394,76.64,78,62,7.0
98,Eureka,US,2022-05-08 17:56:56,40.8021,-124.1637,51.19,63,88,8.99
99,Bengkulu,ID,2022-05-08 17:57:07,-3.8004,102.2655,77.95,81,96,3.44
100,Nishihara,JP,2022-05-08 17:54:48,26.1842,127.7558,76.68,97,100,10.36
101,Aklavik,CA,2022-05-08 17:57:08,68.2191,-135.0107,41.0,65,20,6.91
102,Middelburg,ZA,2022-05-08 17:57:08,-25.7751,29.4648,54.75,73,80,5.19
103,Ensley,US,2022-05-08 17:57:09,30.5188,-87.2728,87.06,55,18,4.0
104,Henderson,US,2022-05-08 17:52:27,36.0397,-114.9819,81.82,21,0,25.32
105,Conceicao Do Araguaia,BR,2022-05-08 17:57:10,-8.2578,-49.2647,89.15,42,46,6.42
106,Lebu,CL,2022-05-08 17:57:10,-37.6167,-73.65,56.89,93,99,6.91
107,Bambous Virieux,MU,2022-05-08 17:57:11,-20.3428,57.7575,75.45,83,40,5.75
108,Saint-Augustin,CA,2022-05-08 17:57:11,51.226,-58.6502,46.76,41,77,10.31
109,Inta,RU,2022-05-08 17:57:12,66.0317,60.1659,46.31,77,83,14.92
110,Saldanha,ZA,2022-05-08 17:54:21,-33.0117,17.9442,57.25,84,24,8.32
111,Port Hedland,AU,2022-05-08 17:55:09,-20.3167,118.5667,69.85,56,75,6.91
112,Namtsy,RU,2022-05-08 17:57:13,62.7161,129.6658,34.77,86,100,8.57
113,Tottori,JP,2022-05-08 17:57:14,35.5,134.2333,53.2,55,94,2.3
114,Lypova Dolyna,UA,2022-05-08 17:57:14,50.5643,33.7979,54.45,75,83,7.56
